code	country	areacode	state	GMT	DST	DST_RANGE	GEOGRAPHIC DESCRIPTION	TZ_CODE
1	USA	201	NJ	-5	Y	SSM-FSN	New Jersey	EST
1	USA	202	DC	-5	Y	SSM-FSN	District of Columbia	EST
1	USA	203	CT	-5	Y	SSM-FSN	Connecticut	EST
1	CAN	204	MB	-6	Y	SSM-FSN	Manitoba	CST
1	USA	205	AL	-6	Y	SSM-FSN	Alabama	CST
1	USA	206	WA	-8	Y	SSM-FSN	Washington	PST
1	USA	207	ME	-5	Y	SSM-FSN	Maine	EST
1	USA	208	ID	-7	Y	SSM-FSN	Idaho	MST
1	USA	209	CA	-8	Y	SSM-FSN	California	PST
1	USA	210	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	212	NY	-5	Y	SSM-FSN	New York	EST
1	USA	213	CA	-8	Y	SSM-FSN	California	PST
1	USA	214	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	215	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	216	OH	-5	Y	SSM-FSN	Ohio	EST
1	USA	217	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	218	MN	-6	Y	SSM-FSN	Minnesota	CST
1	USA	219	IN	-6	Y	SSM-FSN	Indiana	CST
1	USA	220	OH	-5	Y	SSM-FSN	Ohio	EST
1	USA	224	IL	-6	Y	SSM-FSN	Illinois	CST
1	USA	225	LA	-6	Y	SSM-FSN	Louisiana	CST
1	CAN	226	ON	-5	Y	SSM-FSN	Ontario	EST
1	USA	227	MD	-5	Y	SSM-FSN	Maryland	EST
1	USA	228	MS	-6	Y	SSM-FSN	Mississippi	CST
1	USA	229	GA	-5	Y	SSM-FSN	Georgia	EST
1	USA	231	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	234	OH	-5	Y	SSM-FSN	Ohio	EST
1	CAN	236	BC	-8	Y	SSM-FSN	British Columbia	PST
1	USA	239	FL	-5	Y	SSM-FSN	Florida	EST
1	USA	240	MD	-5	Y	SSM-FSN	Maryland	EST
1	BHS	242		-5	Y	FSA-LSO	Bahamas	EST
1	BRB	246		-4	N		Barbados	AST
1	USA	248	MI	-5	Y	SSM-FSN	Michigan	EST
1	CAN	249	ON	-5	Y	SSM-FSN	Ontario	EST
1	CAN	250	BC	-8	Y	SSM-FSN	British Columbia	PST
1	USA	251	AL	-6	Y	SSM-FSN	Alabama	CST
1	USA	252	NC	-5	Y	SSM-FSN	North Carolina	EST
1	USA	253	WA	-8	Y	SSM-FSN	Washington	PST
1	USA	254	TX	-6	Y	SSM-FSN	Texas	CST
1	USA	256	AL	-6	Y	SSM-FSN	Alabama	CST
1	USA	260	IN	-5	Y	SSM-FSN	Indiana	EST
1	USA	262	WI	-6	Y	SSM-FSN	Wisconsin	CST
1	AIA	264		-4	N		Anguilla	AST
1	USA	267	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	ATG	268		-4	N		Antigua and Barbuda	AST
1	USA	269	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	270	KY	-6	Y	SSM-FSN	Kentucky	CST
1	USA	272	PA	-5	Y	SSM-FSN	Pennsylvania	EST
1	USA	274	WI	-6	Y	SSM-FSN	Wisconsin	CST
1	USA	276	VA	-5	Y	SSM-FSN	Virginia	EST
1	USA	278	MI	-5	Y	SSM-FSN	Michigan	EST
1	USA	280	MD	-5	Y	SSM-FSN	Maryland	EST
1	USA	281	TX	-6	Y	SSM-FSN	Texas	CST
